,US Equities,World Equities,US Treasuries,High Yield,Real Estate,Commodities,Corp Bonds,T-bill,TIPS,Regime-5,Regime-7,Regime-9
2/1/95,13.79,2069.172,255.2987,356.715,698.71,2156.45,687.308,1016.141,-0.84%,1,1,1
3/1/95,14.29,2068.274,260.9847,368.945,721.39,2161.24,708.462,1020.706,-1.60%,1,1,1
4/1/95,14.73,2196.401,262.7299,372.915,717.09,2203.51,714.166,1026.077,1.34%,1,1,1
5/1/95,15.06,2278.006,265.9157,382.399,718.71,2287.43,725.865,1030.594,0.06%,1,1,1
6/1/95,15.61,2255.752,278.1211,393.119,751.07,2265.89,764.944,1035.631,-1.07%,1,1,1
7/1/95,16.13,2219.723,279.0565,395.622,764.39,2207.16,767.298,1040.678,-1.95%,1,1,1
8/1/95,16.66,2354.742,277.1773,400.618,776.34,2244.52,761.39,1045.233,-0.04%,1,1,1
9/1/95,16.96,2268.85,282.2312,401.866,787.89,2330.56,778.788,1050.104,-0.74%,1,1,1
10/1/95,17.44,2311.701,283.7398,406.808,802.31,2348.56,785.416,1054.887,1.22%,1,1,1
11/1/95,17.45,2251.758,289.0645,409.318,787.55,2354.01,798.273,1059.539,-1.14%,1,1,1
12/1/95,18.14,2315.819,293.2593,412.928,795.45,2434.88,813.227,1064.277,1.41%,1,1,1
1/1/96,18.4,2407.03,296.9053,419.416,839.09,2658.46,824.232,1068.55,1.08%,1,1,1
2/1/96,18.99,2421.734,298.4786,426.804,855.16,2629.19,828.316,1073.603,1.03%,1,1,1
3/1/96,19.27,2429.401,294.4579,427.14,861.75,2730.23,816.007,1077.778,1.49%,1,1,1
4/1/96,19.65,2481.475,290.494,426.846,860.51,2977.99,804.395,1082.388,-0.42%,1,1,1
5/1/96,19.97,2555.396,288.2972,427.789,863.31,3120.01,796.051,1086.864,2.14%,1,1,1
6/1/96,20.41,2512.377,287.9739,430.364,886.74,3081.23,794.888,1091.873,0.35%,1,1,1
7/1/96,20.46,2523.907,291.4261,433.925,898.96,3221.77,806.398,1096.206,1.98%,1,1,1
8/1/96,19.51,2450.659,294.3021,435.94,906.7,3117.91,815.795,1101.075,-0.77%,1,1,1
9/1/96,19.81,2460.607,291.6264,440.655,943.59,3151.53,805.617,1105.554,1.77%,1,1,1
10/1/96,20.88,2527.892,297.3712,451.267,960,3249.35,826.082,1110.573,1.42%,1,1,1
11/1/96,21.13,2511.66,302.6399,454.738,990.8,3237.07,844.491,1115.346,2.40%,1,1,1
12/1/96,22.58,2615.858,308.1579,463.706,1035.88,3525.78,863.222,1120.185,1.73%,1,1,1
1/1/97,22.31,2580.22,305.0219,467.033,1139.1,3560.13,851.295,1124.617,-1.68%,1,1,1
2/1/97,23.52,2500.424,305.487,471.59,1151.78,3490.65,852.5,1129.976,0.58%,1,1,1
3/1/97,23.6,2538.939,305.6335,479.388,1152.77,3267.61,856.072,1134.383,-1.37%,1,1,1
4/1/97,22.48,2542.142,302.8688,472.249,1142.11,3303.1,844.268,1139.102,0.61%,1,1,1
5/1/97,23.42,2558.382,307.218,477.23,1116.07,3398.76,857.148,1144.011,0.54%,1,1,1
6/1/97,25.1,2727.725,309.4482,487.437,1151.79,3391.47,865.199,1149.145,-0.32%,1,1,1
7/1/97,26.38,2874.026,313.8248,494.202,1207.07,3244.68,880.794,1153.72,0.96%,1,1,1
8/1/97,28.1,2927.442,319.3118,507.773,1243.2,3409.33,900.112,1158.749,0.30%,1,1,1
9/1/97,27.2,2712.453,318.6516,506.617,1240.7,3454.89,896.134,1163.392,0.20%,1,1,1
10/1/97,28.99,2865.335,324.8517,516.655,1339.81,3537.38,916.802,1168.703,1.03%,1,1,1
11/1/97,28.49,2649.826,329.1369,517.118,1305.67,3597.18,923.371,1174.045,0.56%,1,1,1
12/1/97,29.28,2620.809,331.0151,522.058,1327.8,3294.24,929.132,1178.747,-0.42%,1,1,1
1/1/98,29.29,2646.374,334.4197,526.637,1353.94,3059.17,938.416,1183.827,0.49%,1,1,1
2/1/98,30.01,2759.804,339.5606,536.124,1347.61,3007.59,949.551,1189.319,-0.09%,1,1,1
3/1/98,31.55,2940.178,338.4801,539.262,1324.74,2809.94,949.244,1194.035,-0.05%,1,1,1
4/1/98,33.41,3037.421,340.3068,544.325,1346.59,2775.47,955.918,1199.051,0.37%,1,1,1
5/1/98,33.78,3061.714,341.2217,546.469,1303.3,2764.26,959.796,1204.004,0.72%,1,1,1
6/1/98,32.57,3046.498,345.0125,548.367,1292.25,2574.14,971.881,1209.194,0.24%,1,1,1
7/1/98,34.2,3063.369,348.6627,550.339,1284.19,2496.61,978.112,1214.215,0.46%,1,-1,-1
8/1/98,32.8,3084.088,349.0236,553.471,1200.01,2266.38,976.398,1219.75,0.22%,1,-1,-1
9/1/98,28.89,2690.913,358.1804,521.396,1075.84,2205.84,980.019,1224.563,2.02%,1,1,1
10/1/98,28.8,2614.777,370.5183,526.072,1144.13,2343,1020.156,1229.276,0.22%,1,1,1
11/1/98,32.42,2887.767,367.1415,514.526,1112.97,2274.36,997.128,1233.59,-0.10%,1,1,1
12/1/98,34.25,3034.805,367.9303,536.479,1133.23,1995.12,1018.904,1237.987,-0.60%,1,1,1
1/1/99,36.15,3151.997,367.8765,536.471,1099.09,1965.65,1018.874,1242.531,1.17%,1,1,1
2/1/99,37.37,3153.334,368.2216,544.05,1077.89,1948.96,1023.647,1247.332,-0.70%,1,1,1
3/1/99,36.1,3074.747,359.0298,540.346,1051.67,1888.23,998.905,1251.649,-0.02%,1,1,1
4/1/99,37.71,3203.784,361.4039,546.457,1036.44,2186.3,1009.456,1256.444,0.67%,1,1,1
5/1/99,39.72,3341.921,363.0083,556.979,1149.45,2302.59,1014.585,1261.252,0.69%,1,1,1
6/1/99,38.22,3173.854,357.3136,548.797,1168.64,2136.7,993.714,1265.833,0.06%,1,1,1
7/1/99,40.64,3298.683,358.2945,548.177,1147.86,2296.95,994.1,1270.657,-0.06%,1,1,1
8/1/99,39.06,3394.412,358.5761,550.473,1106.11,2419.05,990.289,1275.811,0.18%,1,1,1
9/1/99,39.07,3404.837,358.5961,543.83,1083.02,2552.66,987.641,1280.834,0.40%,1,1,1
10/1/99,37.74,3442.375,359.5399,539.619,1039.28,2693.79,993.075,1285.83,0.19%,1,1,1
11/1/99,40.02,3576.145,361.2003,536.962,1022.64,2586.58,1001.169,1291.21,0.61%,1,1,1
12/1/99,41.75,3701.957,360.7434,543.147,997.53,2676.57,1002.909,1296.679,-0.80%,1,1,1
1/1/00,44.34,4043.093,358.8676,549.303,1017.98,2766.77,998.954,1302.876,0.45%,1,1,1
2/1/00,43.34,3798.16,360.5829,547.381,1036.6,3013.52,997.91,1308.466,0.90%,1,1,1
3/1/00,44.37,3906.566,365.2375,547.734,1015.39,3251.42,1005.033,1314.327,2.92%,1,1,1
4/1/00,45.81,4067.668,372.3492,536.473,1051.79,3087.48,1013.222,1321.208,1.33%,1,1,1
5/1/00,44.56,3857.423,370.9876,537.633,1139.93,3126.47,1003.237,1327.037,-0.25%,1,1,1
6/1/00,43.45,3764.722,373.4825,532.203,1133.47,3483.54,1006.12,1333.661,1.26%,1,1,1
7/1/00,44.73,3928.317,378.0756,542.651,1190.32,3678.73,1025.706,1340.425,0.86%,1,1,1
8/1/00,43.5,3778.924,382.761,546.734,1281.46,3431.42,1040.201,1346.863,0.74%,1,1,1
9/1/00,46.7,3829.052,388.4703,551.566,1211.42,3938.15,1053.196,1353.949,0.52%,-1,-1,-1
10/1/00,44.07,3631.439,387.8425,545.721,1225.99,3969.73,1056.901,1360.969,1.21%,-1,-1,-1
11/1/00,43.23,3533.197,392.1583,528.434,1189.83,3922.45,1059.179,1367.906,1.45%,-1,-1,-1
12/1/00,39.3,3391.599,398.393,505.853,1214,4129.406,1066.597,1374.964,1.09%,-1,-1,-1
1/1/01,39.8,3511.139,407.2527,517.116,1294.05,4147.898,1089.653,1381.114,2.08%,-1,-1,-1
2/1/01,41.5,3527.017,412.5249,557.07,1312.52,4071.4,1126.22,1387.913,1.69%,-1,-1,-1
3/1/01,37.42,3232.718,416.6238,563.452,1305.2,3887.73,1133.899,1393.192,0.96%,-1,-1,-1
4/1/01,34.35,2998.407,416.7911,549.996,1310.05,3688.73,1137.245,1398.684,0.57%,-1,-1,-1
5/1/01,38.27,3272.128,412.7743,543.889,1345.65,3951.32,1136.914,1403.034,1.19%,-1,-1,-1
6/1/01,38.34,3124.819,414.0096,552.944,1381.1,3795.96,1147.227,1407.411,-0.13%,-1,-1,-1
7/1/01,37.73,3027.366,415.1941,537.419,1455.03,3508.6,1149.314,1411.649,1.67%,-1,-1,-1
8/1/01,37.05,2974.809,424.8512,545.707,1439.55,3538.92,1179.627,1415.787,0.14%,-1,-1,-1
9/1/01,34.65,2832.308,430.9716,551.764,1479.8,3576.03,1195.79,1419.76,0.58%,-1,-1,-1
10/1/01,31.39,2563.564,438.8045,514.858,1419.38,3163.58,1194.753,1423.12,2.37%,-1,-1,1
11/1/01,33.01,2674.249,450.705,527.638,1402.97,2966.45,1222.959,1425.765,-2.23%,-1,-1,1
12/1/01,34.52,2713.991,438.8585,546.652,1447.65,2889.03,1210.792,1428.136,-1.16%,-1,-1,1
1/1/02,35.43,2768.343,434.6658,544.423,1494.65,2823.35,1202.03,1430.011,0.59%,-1,-1,1
2/1/02,34.75,2622.719,438.6367,548.398,1501.08,2804.82,1213.976,1432.11,1.51%,-1,-1,1
3/1/02,35.03,2675.383,438.9386,540.365,1542.64,2915.89,1213.862,1434.031,-0.61%,-1,-1,1
4/1/02,35.74,2797.799,430.8676,553.524,1623.59,3294.56,1197.119,1436.239,2.73%,-1,-1,-1
5/1/02,34.29,2816.891,442.2341,562.287,1651.66,3230.24,1211.164,1438.291,1.59%,-1,-1,-1
6/1/02,32.83,2843.059,443.9075,559.296,1661.09,3128.46,1229.72,1440.57,1.42%,-1,-1,-1
7/1/02,30.55,2733.15,450.5178,517.967,1689.45,3256.99,1229.98,1442.474,1.66%,-1,-1,-1
8/1/02,27.97,2389.78,461.8971,496.546,1596.35,3208.95,1231.643,1444.565,3.58%,-1,-1,-1
9/1/02,28.91,2427.926,470.4986,509.557,1622.78,3455.84,1257.866,1446.441,2.53%,-1,-1,-1
10/1/02,26.92,2198.47,480.8925,502.696,1556.47,3639.06,1276.366,1448.541,-2.67%,1,1,1
11/1/02,28.48,2304.211,476.5753,498.99,1499.76,3438.37,1261.666,1450.517,-0.07%,1,1,1
12/1/02,29.67,2411.125,473.1126,529.355,1569.19,3476.98,1284.425,1452.062,3.36%,1,1,1
1/1/03,28.04,2338.944,485.2583,536.758,1572.61,3728.76,1323.639,1453.45,0.75%,1,1,1
2/1/03,27.44,2282.676,483.7278,554.625,1522.01,4032.36,1329.214,1455.057,3.75%,1,1,1
3/1/03,26.7,2226.451,492.08,561.47,1556.41,4434.797,1356.519,1456.376,-1.62%,1,1,1
4/1/03,27.48,2183.909,490.0506,578.988,1617.13,3817.55,1357.492,1457.701,-0.26%,1,1,1
5/1/03,29.4,2387.422,492.4997,611.98,1671.25,3665.54,1385.159,1459.078,4.74%,1,1,1
6/1/03,31.32,2568.346,506.5761,618.209,1771.09,4104.09,1429.048,1460.466,-1.02%,1,1,1
7/1/03,31.89,2585.138,502.9131,635.98,1823.17,4031.15,1423.729,1461.534,-4.62%,1,1,1
8/1/03,32.08,2635.267,481.7552,626.278,1889.76,4199.547,1366.624,1462.659,1.79%,1,1,1
9/1/03,33.2,2753.462,484.2291,636.229,1911.69,4214.527,1375.191,1463.735,3.31%,1,1,1
10/1/03,33.55,2850.707,498.8626,656.039,1989.23,4053.64,1424.93,1464.995,0.55%,1,1,1
11/1/03,35.16,2972.355,491.1867,666.821,2041.64,4081.73,1409.453,1466.232,0.06%,1,1,1
12/1/03,35.74,3084.763,490.2786,677.757,2131.87,4256.77,1412.875,1467.293,1.02%,1,1,1
1/1/04,36.92,3274.785,496.2585,692.258,2177.53,4501.27,1432.744,1468.38,1.15%,1,1,1
2/1/04,37.85,3330.918,500.4421,705.474,2301.48,4631.379,1447.76,1469.572,2.31%,1,1,1
3/1/04,38.69,3447.066,506.3676,705.079,2349.85,4929.977,1465.477,1470.627,1.60%,1,1,1
4/1/04,38.11,3459.341,509.7273,708.709,2472.29,4858.129,1475.243,1471.813,-4.86%,1,1,1
5/1/04,37.41,3336.36,494.9585,703.66,2108,5184.137,1433.114,1473.044,1.80%,1,1,1
6/1/04,37.63,3339.225,492.1233,691.869,2199.81,5575.02,1419.003,1474.26,0.05%,1,1,1
7/1/04,37.99,3427.942,496.7591,703.437,2291.36,5213.59,1432.562,1475.811,0.93%,1,1,1
8/1/04,37.1,3322.858,499.9567,711.201,2326.96,5440.559,1446.797,1477.554,2.68%,1,1,1
9/1/04,37.19,3364.034,510.5856,726.113,2465.03,5400.457,1481.839,1479.368,0.20%,1,1,1
10/1/04,38.26,3480.246,510.0846,735.796,2518.81,5945.199,1485.538,1481.407,1.00%,1,1,1
11/1/04,38.32,3578.522,514.145,750.511,2620.33,6019.887,1500.165,1483.646,-0.24%,1,1,1
12/1/04,40.67,3820.339,508.4818,758.184,2763.52,5592.738,1488.734,1486.208,1.75%,1,1,1
1/1/05,41.11,3939.58,513.7882,769.299,2805.31,5173.25,1509.937,1489.184,0.01%,1,1,1
2/1/05,40.72,3891.295,517.497,769.697,2633.77,5557.078,1522.017,1491.985,-0.42%,1,1,1
3/1/05,41.56,4052.501,513.0591,779.056,2702.58,5974.309,1512.234,1494.937,0.09%,1,1,1
4/1/05,40.36,3970.071,512.7286,757.881,2619.71,6573.738,1496.16,1498.466,1.91%,1,1,1
5/1/05,39.91,3863.133,520.5574,749.551,2742.65,5915.219,1512.214,1502.059,0.69%,1,1,1
6/1/05,41.59,3898.559,529.6684,766.835,2881.24,6044.816,1541.407,1505.616,0.42%,1,1,1
7/1/05,41.68,3923.014,527.7498,778.552,3004.83,6328.25,1537.753,1509.344,-2.10%,1,1,1
8/1/05,43.32,4093.421,522.2304,790.582,3173.14,6598.758,1527.65,1513.52,2.31%,1,1,1
9/1/05,42.93,4264.698,531.8755,792.892,3057.98,7634.129,1553.286,1518.013,-0.14%,1,1,1
10/1/05,43.21,4354.181,524.3898,785.026,3046,7433.84,1528.654,1522.631,-1.28%,1,1,1
11/1/05,42.29,4255.837,519.8486,780.236,2894.48,6672.656,1510.064,1527.176,0.17%,1,1,1
12/1/05,44.69,4384.802,522.2521,784.186,3118.83,6590.969,1517.833,1532.125,1.23%,1,1,1
1/1/06,44.17,4559.391,528.1529,790.349,3075.06,6627.918,1535.249,1536.92,-0.01%,1,1,1
2/1/06,45.8,4841.45,525.6869,803.946,3301.68,6785.477,1529.34,1542.856,-0.04%,1,1,1
3/1/06,46.16,4834.094,526.4452,808.262,3358.88,6254.758,1535.224,1548.183,-2.19%,1,1,1
4/1/06,46.61,5029.541,521.8174,813.164,3439.43,6577.117,1517.249,1554.601,-0.09%,1,1,1
