DATE,SP500,SP500TR
6/1/11,-1.6647,1264.1034
7/1/11,-2.0334,1238.3991
8/1/11,-5.4329,1171.1181
9/1/11,-7.0299,1088.7897
10/1/11,10.9293,1207.7868
11/1/11,-0.2180,1205.1538
12/1/11,1.0320,1217.5910
1/1/12,4.4816,1272.1586
2/1/12,4.3249,1327.1781
3/1/12,3.2910,1370.8556
4/1/12,-0.6276,1362.2521
5/1/12,-6.0102,1280.3780
6/1/12,4.1204,1333.1347
7/1/12,1.3894,1351.6573
8/1/12,2.2556,1382.1453
9/1/12,2.5842,1417.8627
10/1/12,-1.8448,1391.7059
11/1/12,0.6021,1400.0854
12/1/12,0.9643,1413.5864
1/1/13,5.1791,1486.7975
2/1/13,1.3577,1506.9837
3/1/13,3.7505,1563.5031
4/1/13,1.9265,1593.6240
5/1/13,2.3388,1630.8957
6/1/13,-1.3336,1609.1461
7/1/13,4.3000,1678.3394
8/1/13,-2.8900,1629.8354
9/1/13,3.1400,1681.0122
10/1/13,4.4900,1756.4896
11/1/13,2.8000,1805.6714
12/1/13,2.3600,1848.2852
1/1/14,-3.5600,1782.4862
2/1/14,4.3100,1859.3114
3/1/14,0.6900,1872.1406
4/1/14,0.6200,1883.7479
5/1/14,2.1000,1923.3066
6/1/14,1.9100,1960.0418
7/1/14,-1.5100,1930.4452
8/1/14,3.7700,2003.2229
9/1/14,-1.5500,1972.1730
10/1/14,2.3200,2017.9274
11/1/14,2.4500,2067.3666
12/1/14,-0.4200,2058.6837
1/1/15,-3.1000,1994.8645
2/1/15,5.4900,2104.3825
3/1/15,-1.7400,2067.7663
4/1/15,0.8500,2085.3423
5/1/15,1.0500,2107.2384
6/1/15,-2.1000,2062.9864
7/1/15,1.9700,2103.6272
8/1/15,-6.2600,1971.9402
9/1/15,-2.6400,1919.8809
10/1/15,8.3000,2079.2310
11/1/15,0.0500,2080.2707
12/1/15,-1.7500,2043.8659
1/1/16,-5.0700,1940.2419
2/1/16,-0.4100,1932.2869
3/1/16,6.6000,2059.8179
4/1/16,0.2700,2065.3794
5/1/16,1.5300,2096.9797
6/1/16,0.0900,2098.8670
7/1/16,3.5600,2173.5866
8/1/16,-0.1200,2170.9783
9/1/16,-0.1200,2168.3732
10/1/16,-1.9400,2126.3067
11/1/16,3.4200,2199.0264
12/1/16,1.8200,2239.0487
1/1/17,1.7900,2279.1277
2/1/17,3.7200,2363.9112
3/1/17,-0.0400,2362.9656
4/1/17,0.9100,2384.4686
5/1/17,1.1600,2412.1285
6/1/17,0.4800,2423.7067
7/1/17,1.9300,2470.4842
8/1/17,0.0500,2471.7195
9/1/17,1.9300,2519.4236
10/1/17,2.2200,2575.3548
11/1/17,2.8100,2647.7223
12/1/17,0.9800,2673.6700
